P	Target	Relationship
YPL153C	YBR215W	kinase
YPL153C	YBR215W	kinase
YPL153C	YBR215W	kinase
YPL153C	YBR215W	kinase
YBR136W	YDR138W	kinase
YBR136W	YDR138W	kinase
YBL088C	YDR138W	kinase
YBL088C	YDR138W	kinase
YBR136W	YDR138W	kinase
YBR136W	YDR138W	kinase
YBL088C	YDR138W	kinase
YBL088C	YDR138W	kinase
YBR136W	YDR138W	kinase
YBR136W	YDR138W	kinase
YBL088C	YDR138W	kinase
YBL088C	YDR138W	kinase
YBR136W	YDR138W	kinase
YBR136W	YDR138W	kinase
YBL088C	YDR138W	kinase
YBL088C	YDR138W	kinase
YBR136W	YDR138W	kinase
YBR136W	YDR138W	kinase
YBL088C	YDR138W	kinase
YBL088C	YDR138W	kinase
YOR267C	YOR267C	kinase
YOR267C	YOR267C	kinase
YOR267C	YOR267C	kinase
YBR160W	YOL123W	kinase
YBR160W	YOL123W	kinase
YBR160W	YOL123W	kinase
YBR160W	YOL123W	kinase
YBR160W	YOL123W	kinase
YBR160W	YOL123W	kinase
YDL028C	YPL204W	kinase
YDL028C	YPL204W	kinase
YDL028C	YPL204W	kinase
YDL028C	YPL204W	kinase
YDL028C	YPL204W	kinase
YDL028C	YPL204W	kinase
YDL028C	YPL204W	kinase
YDL028C	YOL133W	kinase
YKL048C	YKL101W	kinase
YLR113W	YKL101W	kinase
YLR113W	YKL101W	kinase
YKL101W	YBR133C	kinase
YBR136W	YFL014W	kinase
YBR136W	YFL014W	kinase
YBL088C	YFL014W	kinase
YBL088C	YFL014W	kinase
YCR079W	YFL014W	phosphatase
YBR136W	YFL014W	kinase
YBR136W	YFL014W	kinase
YBL088C	YFL014W	kinase
YBL088C	YFL014W	kinase
YCR079W	YFL014W	phosphatase
YBR136W	YFL014W	kinase
YBR136W	YFL014W	kinase
YBL088C	YFL014W	kinase
YBL088C	YFL014W	kinase
YCR079W	YFL014W	phosphatase
YBR136W	YFL014W	kinase
YBR136W	YFL014W	kinase
YBL088C	YFL014W	kinase
YBL088C	YFL014W	kinase
YCR079W	YFL014W	phosphatase
YBR136W	YFL014W	kinase
YBR136W	YFL014W	kinase
YBL088C	YFL014W	kinase
YBL088C	YFL014W	kinase
YCR079W	YFL014W	phosphatase
YBR136W	YFL014W	kinase
YBR136W	YFL014W	kinase
YBL088C	YFL014W	kinase
YBL088C	YFL014W	kinase
YCR079W	YFL014W	phosphatase
YBR136W	YFL014W	kinase
YBR136W	YFL014W	kinase
YBL088C	YFL014W	kinase
YBL088C	YFL014W	kinase
YCR079W	YFL014W	phosphatase
YBR136W	YFL014W	kinase
YBR136W	YFL014W	kinase
YBL088C	YFL014W	kinase
YBL088C	YFL014W	kinase
YCR079W	YFL014W	phosphatase
YIL042C	YFL014W	kinase
YCR079W	YFL014W	phosphatase
YIL042C	YFL014W	kinase
YCR079W	YFL014W	phosphatase
YIL042C	YFL014W	kinase
YCR079W	YFL014W	phosphatase
YIL042C	YFL014W	kinase
YCR079W	YFL014W	phosphatase
YIL042C	YFL014W	kinase
YCR079W	YFL014W	phosphatase
YIL042C	YFL014W	kinase
YCR079W	YFL014W	phosphatase
YIL042C	YFL014W	kinase
YCR079W	YFL014W	phosphatase
YIL042C	YFL014W	kinase
YIL042C	YFL014W	kinase
YIL042C	YFL014W	kinase
YIL042C	YFL014W	kinase
YIL042C	YFL014W	kinase
YIL042C	YFL014W	kinase
YIL042C	YFL014W	kinase
YIL042C	YFL014W	kinase
YIL042C	YFL014W	kinase
YIL042C	YFL014W	kinase
YIL042C	YFL014W	kinase
YIL042C	YFL014W	kinase
YIL042C	YFL014W	kinase
YIL042C	YFL014W	kinase
YIL042C	YFL014W	kinase
YNL307C	YFL014W	kinase
YNL307C	YFL014W	kinase
YNL307C	YFL014W	kinase
YBR136W	YBR072W	kinase
YBL088C	YBR072W	kinase
YBR136W	YBR072W	kinase
YBL088C	YBR072W	kinase
YBR136W	YBR072W	kinase
YBL088C	YBR072W	kinase
YBR136W	YBR072W	kinase
YBL088C	YBR072W	kinase
YBR136W	YBR072W	kinase
YBL088C	YBR072W	kinase
YBR136W	YBR072W	kinase
YBL088C	YBR072W	kinase
YBR136W	YBR072W	kinase
YBL088C	YBR072W	kinase
YBR136W	YBR072W	kinase
YBL088C	YBR072W	kinase
YBR136W	YBR072W	kinase
YBL088C	YBR072W	kinase
YBR136W	YBR072W	kinase
YBL088C	YBR072W	kinase
YDL047W	YCR021C	phosphatase
YDL047W	YCR021C	phosphatase
YDL047W	YCR021C	phosphatase
YDL047W	YCR021C	phosphatase
YDL047W	YCR021C	phosphatase
YDL047W	YCR021C	phosphatase
YJL128C	YDR171W	kinase
YJL128C	YDR171W	kinase
YJL128C	YDR171W	kinase
YJL128C	YDR171W	kinase
YJL128C	YDR171W	kinase
YJL128C	YDR171W	kinase
YDL134C	YDR171W	phosphatase
YJL128C	YDR171W	kinase
YDL134C	YDR171W	phosphatase
YJL128C	YDR171W	kinase
YDL134C	YDR171W	phosphatase
YJL128C	YDR171W	kinase
YDL134C	YDR171W	phosphatase
YJL128C	YDR171W	kinase
YDL134C	YDR171W	phosphatase
YJL128C	YDR171W	kinase
YDL134C	YDR171W	phosphatase
YDL134C	YDR171W	phosphatase
YDL134C	YDR171W	phosphatase
YDL134C	YDR171W	phosphatase
YDL134C	YDR171W	phosphatase
YDL134C	YDR171W	phosphatase
YDL134C	YDR171W	phosphatase
YDL134C	YDR171W	phosphatase
YDL134C	YDR171W	phosphatase
YDL134C	YDR171W	phosphatase
YDL134C	YDR171W	phosphatase
YDL134C	YDR171W	phosphatase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR225W	kinase
YBR136W	YBL003C	kinase
YBR136W	YBL003C	kinase
YBR136W	YBL003C	kinase
YBR136W	YBL003C	kinase
YBR136W	YBL003C	kinase
YBR136W	YBL003C	kinase
YBR136W	YBL003C	kinase
YBR136W	YBL003C	kinase
YBR136W	YBL003C	kinase
YBR136W	YBL003C	kinase
YHL007C	YDR224C	kinase
YLR019W	YBL002W	phosphatase
YBR136W	YBL002W	kinase
YBL088C	YBL002W	kinase
YJL164C	YGL253W	kinase
YJL164C	YGL253W	kinase
YER133W	YGL253W	phosphatase
YDR028C	YGL253W	phosphatase
YJL164C	YGL253W	kinase
YJL164C	YGL253W	kinase
YER133W	YGL253W	phosphatase
YDR028C	YGL253W	phosphatase
YJL164C	YGL253W	kinase
YJL164C	YGL253W	kinase
YER133W	YGL253W	phosphatase
YDR028C	YGL253W	phosphatase
YJL164C	YGL253W	kinase
YJL164C	YGL253W	kinase
YER133W	YGL253W	phosphatase
YDR028C	YGL253W	phosphatase
YJL164C	YGL253W	kinase
YJL164C	YGL253W	kinase
YER133W	YGL253W	phosphatase
YDR028C	YGL253W	phosphatase
YJL164C	YGL253W	kinase
YJL164C	YGL253W	kinase
YER133W	YGL253W	phosphatase
YDR028C	YGL253W	phosphatase
YJL164C	YGL253W	kinase
YJL164C	YGL253W	kinase
YER133W	YGL253W	phosphatase
YDR028C	YGL253W	phosphatase
YJL164C	YGL253W	kinase
YJL164C	YGL253W	kinase
YER133W	YGL253W	phosphatase
YDR028C	YGL253W	phosphatase
YJL164C	YGL253W	kinase
YJL164C	YGL253W	kinase
YER133W	YGL253W	phosphatase
YDR028C	YGL253W	phosphatase
YJL164C	YGL253W	kinase
YJL164C	YGL253W	kinase
YER133W	YGL253W	phosphatase
YDR028C	YGL253W	phosphatase
YJL164C	YGL253W	kinase
YJL164C	YGL253W	kinase
YER133W	YGL253W	phosphatase
YDR028C	YGL253W	phosphatase
YJL164C	YGL253W	kinase
YJL164C	YGL253W	kinase
YER133W	YGL253W	phosphatase
YDR028C	YGL253W	phosphatase
YBR160W	YHR094C	kinase
YBR160W	YHR094C	kinase
YBR160W	YHR094C	kinase
YBR160W	YHR094C	kinase
YLR113W	YHR094C	kinase
YLR113W	YHR094C	kinase
YLR113W	YHR094C	kinase
YLR113W	YHR094C	kinase
YLR113W	YHR094C	kinase
YNL298W	YMR295C	kinase
YNL298W	YMR295C	kinase
YNL298W	YMR295C	kinase
YNL298W	YMR295C	kinase
YNL298W	YMR295C	kinase
YNL298W	YMR295C	kinase
YNL298W	YMR295C	kinase
YNL298W	YMR295C	kinase
YNL298W	YMR295C	kinase
YNL298W	YMR295C	kinase
YNL298W	YMR295C	kinase
YNL298W	YMR295C	kinase
YNL298W	YMR295C	kinase
YNL298W	YMR295C	kinase
YBR059C	YBR157C	kinase
YBR059C	YBR157C	kinase
YBR160W	YJL146W	kinase
YBR160W	YJL146W	kinase
YBR160W	YJL146W	kinase
YBR160W	YJL146W	kinase
YBR136W	YFL013C	kinase
YBL088C	YFL013C	kinase
YBR136W	YFL013C	kinase
YBL088C	YFL013C	kinase
YBR136W	YOR189W	kinase
YBR136W	YOR189W	kinase
YBL088C	YOR189W	kinase
YBL088C	YOR189W	kinase
YBR136W	YOR189W	kinase
YBR136W	YOR189W	kinase
YBL088C	YOR189W	kinase
YBL088C	YOR189W	kinase
YBR136W	YOR189W	kinase
YBR136W	YOR189W	kinase
YBL088C	YOR189W	kinase
YBL088C	YOR189W	kinase
YBR136W	YOR189W	kinase
YBR136W	YOR189W	kinase
YBL088C	YOR189W	kinase
YBL088C	YOR189W	kinase
YBR136W	YOR189W	kinase
YBR136W	YOR189W	kinase
YBL088C	YOR189W	kinase
YBL088C	YOR189W	kinase
YBR136W	YOR189W	kinase
YBL088C	YOR189W	kinase
YBR136W	YOR189W	kinase
YBL088C	YOR189W	kinase
YBR136W	YOR189W	kinase
YBL088C	YOR189W	kinase
YBR136W	YOR189W	kinase
YBR136W	YOR189W	kinase
YBL088C	YOR189W	kinase
YBL088C	YOR189W	kinase
YBR136W	YOR189W	kinase
YBR136W	YOR189W	kinase
YBL088C	YOR189W	kinase
YBL088C	YOR189W	kinase
YBR136W	YOR189W	kinase
YBR136W	YOR189W	kinase
YBL088C	YOR189W	kinase
YBL088C	YOR189W	kinase
YKL166C	YFR017C	kinase
YKL166C	YFR017C	kinase
YFL033C	YNL157W	kinase
YFL033C	YNL157W	kinase
YFL033C	YNL157W	kinase
YFL033C	YNL157W	kinase
YFL033C	YNL157W	kinase
YFL033C	YNL157W	kinase
YFL033C	YNL157W	kinase
YFL033C	YNL157W	kinase
YDL188C	YHR132W-A	phosphatase
YDL188C	YHR132W-A	phosphatase
YDL188C	YHR132W-A	phosphatase
YDL188C	YHR132W-A	phosphatase
YBR160W	YHR132W-A	kinase
YPR119W	YHR132W-A	kinase
YBR160W	YHR132W-A	kinase
YPR119W	YHR132W-A	kinase
YBR160W	YHR132W-A	kinase
YPR119W	YHR132W-A	kinase
YBR160W	YHR132W-A	kinase
YPR119W	YHR132W-A	kinase
YMR139W	YJR094C	kinase
YMR139W	YJR094C	kinase
YMR139W	YJR094C	kinase
YFL029C	YJL106W	kinase
YFL029C	YJL106W	kinase
YFL029C	YJL106W	kinase
YFL029C	YJL106W	kinase
YFL029C	YJL106W	kinase
YOR061W	YLR309C	kinase
YOR061W	YLR309C	kinase
YOR061W	YLR309C	kinase
YOR061W	YLR309C	kinase
YOR061W	YLR309C	kinase
YBR136W	YGL150C	kinase
YBL088C	YGL150C	kinase
YBR160W	YNL106C	kinase
YPR119W	YNL106C	kinase
YBR160W	YNL106C	kinase
YPR119W	YNL106C	kinase
YBR160W	YNL106C	kinase
YPR119W	YNL106C	kinase
YBR160W	YNL106C	kinase
YPR119W	YNL106C	kinase
YBR160W	YNL106C	kinase
YPR119W	YNL106C	kinase
YBR160W	YNL106C	kinase
YPR119W	YNL106C	kinase
YBR160W	YNL106C	kinase
YPR119W	YNL106C	kinase
YBR160W	YNL106C	kinase
YPR119W	YNL106C	kinase
YBR160W	YNL106C	kinase
YPR119W	YNL106C	kinase
YBR160W	YNL106C	kinase
YPR119W	YNL106C	kinase
YBR160W	YOR109W	kinase
YBR160W	YOR109W	kinase
YBR160W	YOR109W	kinase
YBR160W	YOR109W	kinase
YBR160W	YOR109W	kinase
YBR160W	YOR109W	kinase
YBR160W	YOR109W	kinase
YBR160W	YOR109W	kinase
YBR160W	YOR109W	kinase
YPR119W	YOR109W	kinase
YBR160W	YOR109W	kinase
YPR119W	YOR109W	kinase
YBR160W	YOR109W	kinase
YPR119W	YOR109W	kinase
YBR160W	YOR109W	kinase
YPR119W	YOR109W	kinase
YBR136W	YLR095C	kinase
YBL088C	YLR095C	kinase
YBR136W	YLR095C	kinase
YBL088C	YLR095C	kinase
YBR136W	YLR095C	kinase
YBL088C	YLR095C	kinase
YBR136W	YLR095C	kinase
YBL088C	YLR095C	kinase
YBR136W	YLR095C	kinase
YBL088C	YLR095C	kinase
YPL209C	YPL209C	kinase
YPL209C	YPL209C	kinase
YPL209C	YPL209C	kinase
YPL209C	YPL209C	kinase
YPL209C	YPL209C	kinase
YPL209C	YPL209C	kinase
YBR160W	YPL209C	kinase
YPR119W	YPL209C	kinase
YBR160W	YPL209C	kinase
YPR119W	YPL209C	kinase
YPL209C	YPL209C	kinase
YBR160W	YPL242C	kinase
YBR160W	YPL242C	kinase
YBR160W	YPL242C	kinase
YBR160W	YPL242C	kinase
YBR160W	YPL242C	kinase
YPR119W	YPL242C	kinase
YBR160W	YPL242C	kinase
YPR119W	YPL242C	kinase
YBR160W	YPL242C	kinase
YBR160W	YPL242C	kinase
YBR160W	YPL242C	kinase
YHR079C	YHR079C	kinase
YLR361C	YHR079C	phosphatase
YHR079C	YHR079C	kinase
YLR361C	YHR079C	phosphatase
YHR079C	YHR079C	kinase
YLR361C	YHR079C	phosphatase
YHR079C	YHR079C	kinase
YLR361C	YHR079C	phosphatase
YHR079C	YHR079C	kinase
YLR361C	YHR079C	phosphatase
YHR079C	YHR079C	kinase
YLR361C	YHR079C	phosphatase
YDL101C	YIL026C	kinase
YDL101C	YIL026C	kinase
YKL139W	YBR086C	kinase
YKL139W	YBR086C	kinase
YKL126W	YBR086C	kinase
YKL126W	YBR086C	kinase
YBR160W	YBR245C	kinase
YBR160W	YBR245C	kinase
YBR160W	YBR245C	kinase
YBR160W	YBR245C	kinase
YBR160W	YBR245C	kinase
YBR160W	YOR304W	kinase
YBR160W	YOR304W	kinase
YBR160W	YOR304W	kinase
YBR160W	YOR304W	kinase
YBR160W	YOR304W	kinase
YBR160W	YOR304W	kinase
YBR136W	YOR304W	kinase
YBL088C	YOR304W	kinase
YBR136W	YOR304W	kinase
YBL088C	YOR304W	kinase
YBR136W	YOR304W	kinase
YBL088C	YOR304W	kinase
YBR136W	YOR304W	kinase
YBL088C	YOR304W	kinase
YBR136W	YOR304W	kinase
YBL088C	YOR304W	kinase
YPL153C	YGL133W	kinase
YPL153C	YGL133W	kinase
YPL153C	YGL133W	kinase
YJL128C	YDR475C	kinase
YJL128C	YDR475C	kinase
YBR160W	YPR141C	kinase
YBR160W	YPR141C	kinase
YPR119W	YPR141C	kinase
YBR160W	YPR141C	kinase
YPR119W	YPR141C	kinase
YBR160W	YPR141C	kinase
YPR119W	YPR141C	kinase
YBR160W	YCL055W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YPR120C	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YLR210W	YPL269W	kinase
YBR160W	YPL269W	kinase
YBR160W	YHR158C	kinase
YPR119W	YHR158C	kinase
YBR160W	YHR158C	kinase
YPR119W	YHR158C	kinase
YBR160W	YHR158C	kinase
YPR119W	YHR158C	kinase
YBR160W	YHR158C	kinase
YPR119W	YHR158C	kinase
YBR160W	YHR158C	kinase
YPR119W	YHR158C	kinase
YBR160W	YHR158C	kinase
YPR119W	YHR158C	kinase
YBR160W	YHR158C	kinase
YPR119W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR102W	kinase
YPR119W	YHR102W	kinase
YBR160W	YHR102W	kinase
YPR119W	YHR102W	kinase
YDR477W	YDR122W	kinase
YDR477W	YDR122W	kinase
YDR477W	YDR122W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YPR119W	YLR096W	kinase
YPR119W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YPR119W	YLR096W	kinase
YPR119W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YPR119W	YLR096W	kinase
YPR119W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR096W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YFL029C	YDL108W	kinase
YKL048C	YOR233W	kinase
YBR160W	YOR233W	kinase
YPR119W	YOR233W	kinase
YBR160W	YOR233W	kinase
YPR119W	YOR233W	kinase
YBR160W	YKL168C	kinase
YBR160W	YKL168C	kinase
YBR160W	YKL168C	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YDL159W	YGR040W	kinase
YKL198C	YHL003C	kinase
YKL198C	YHL003C	kinase
YKL198C	YHL003C	kinase
YKL198C	YHL003C	kinase
YKL198C	YHL003C	kinase
YKL198C	YHL003C	kinase
YKL198C	YHL003C	kinase
YKL198C	YHL003C	kinase
YKL198C	YHL003C	kinase
YKL198C	YHL003C	kinase
YPL031C	YOR171C	kinase
YNL289W	YOR171C	kinase
YDL127W	YOR171C	kinase
YPL031C	YOR171C	kinase
YNL289W	YOR171C	kinase
YDL127W	YOR171C	kinase
YPL031C	YOR171C	kinase
YNL289W	YOR171C	kinase
YDL127W	YOR171C	kinase
YPL031C	YOR171C	kinase
YNL289W	YOR171C	kinase
YDL127W	YOR171C	kinase
YPL031C	YOR171C	kinase
YNL289W	YOR171C	kinase
YDL127W	YOR171C	kinase
YBR136W	YOR123C	kinase
YBL088C	YOR123C	kinase
YML057W	YOR123C	phosphatase
YML057W	YOR123C	phosphatase
YML057W	YOR123C	phosphatase
YML057W	YOR123C	phosphatase
YML057W	YOR123C	phosphatase
YML057W	YOR123C	phosphatase
YBR136W	YOR123C	kinase
YBL088C	YOR123C	kinase
YBR136W	YOR123C	kinase
YBL088C	YOR123C	kinase
YBR160W	YJR070C	kinase
YBR160W	YJR070C	kinase
YBR160W	YJR070C	kinase
YBR160W	YJR070C	kinase
YBR160W	YGL090W	kinase
YPR119W	YGL090W	kinase
YBR160W	YGL090W	kinase
YPR119W	YGL090W	kinase
YBR160W	YGL090W	kinase
YPR119W	YGL090W	kinase
YBR160W	YDR439W	kinase
YPR119W	YDR439W	kinase
YBR160W	YDR439W	kinase
YPR119W	YDR439W	kinase
YBR160W	YDR439W	kinase
YPR119W	YDR439W	kinase
YBR160W	YDR439W	kinase
YPR119W	YDR439W	kinase
YBR160W	YDR439W	kinase
YPR119W	YDR439W	kinase
YBR160W	YDR439W	kinase
YPR119W	YDR439W	kinase
YIL035C	YFR024C-A	kinase
YIL035C	YFR024C-A	kinase
YBR136W	YGR244C	kinase
YBL088C	YGR244C	kinase
YBR136W	YGR244C	kinase
YBL088C	YGR244C	kinase
YBR160W	YAL024C	kinase
YPR119W	YAL024C	kinase
YBR160W	YAL024C	kinase
YBR160W	YDL182W	kinase
YBR160W	YDL182W	kinase
YBR160W	YDL182W	kinase
YBR160W	YDL182W	kinase
YBR160W	YDL182W	kinase
YBR160W	YDL182W	kinase
YBR160W	YDL182W	kinase
YBR160W	YDL182W	kinase
YBR160W	YDL182W	kinase
YBR160W	YDL182W	kinase
YBR160W	YDL182W	kinase
YBR160W	YDL131W	kinase
YBR160W	YDL131W	kinase
YBR160W	YDL131W	kinase
YBR160W	YDL131W	kinase
YBR160W	YDL131W	kinase
YBR160W	YDL131W	kinase
YBR160W	YDL131W	kinase
YBR160W	YDL131W	kinase
YBR160W	YDL131W	kinase
YPL209C	YJL013C	kinase
YPL209C	YJL013C	kinase
YPL209C	YJL013C	kinase
YPL209C	YJL013C	kinase
YBR160W	YJL013C	kinase
YBR160W	YJL013C	kinase
YPL209C	YJL013C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YIL035C	YDR005C	kinase
YOR061W	YDR005C	kinase
YGL019W	YDR005C	kinase
YOR039W	YDR005C	kinase
YIL035C	YDR005C	kinase
YOR061W	YDR005C	kinase
YGL019W	YDR005C	kinase
YOR039W	YDR005C	kinase
YIL035C	YDR005C	kinase
YOR061W	YDR005C	kinase
YGL019W	YDR005C	kinase
YOR039W	YDR005C	kinase
YIL035C	YDR005C	kinase
YOR061W	YDR005C	kinase
YGL019W	YDR005C	kinase
YOR039W	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
YJL164C	YDR005C	kinase
