P	Target	Relationship
PKP1	YER178W	kinase
YAL009W	YMR165C	phosphatase
YAL017W	YFR003C	kinase
YAL017W	YJR049C	-
YAL017W	YJR060W	-
YAL017W	YMR070W	-
YAL017W	YMR273C	-
YAR018C	YIL144W	kinase
YAR018C	YIL153W	-
YAR019C	YBR160W	-
YAR019C	YCL035C	-
YAR019C	YDR382W	-
YAR019C	YER087W	-
YAR019C	YGR092W	kinase
YAR019C	YIL106W	kinase
YAR019C	YJR047C	-
YAR019C	YLR258W	-
YAR019C	YML064C	-
YAR019C	YMR139W	-
YAR019C	YOR373W	-
YAR019C	YPL201C	-
YBL009W	YLR335W	kinase
YBL016W	YBL047C	kinase
YBL016W	YBR019C	-
YBL016W	YBR083W	kinase
YBL016W	YDL159W	-
YBL016W	YDR103W	kinase
YBL016W	YDR365C	kinase
YBL016W	YDR388W	-
YBL016W	YDR480W	kinase
YBL016W	YER151C	-
YBL016W	YGR200C	-
YBL016W	YHR005C	-
YBL016W	YHR084W	kinase
YBL016W	YJL157C	kinase
YBL016W	YKL211C	-
YBL016W	YKR080W	-
YBL016W	YLR236C	-
YBL016W	YLR310C	kinase
YBL016W	YLR452C	kinase
YBL016W	YMR120C	-
YBL016W	YMR232W	kinase
YBL016W	YNL053W	kinase
YBL016W	YNL271C	kinase
YBL016W	YOR212W	kinase
YBL016W	YPL049C	kinase
YBL056W	YBR160W	phosphatase
YBL056W	YLR113W	phosphatase
YBL088C	YAR007C	kinase
YBL088C	YBL002W	kinase
YBL088C	YBL046W	kinase
YBL088C	YBL051C	kinase
YBL088C	YBR072W	kinase
YBL088C	YBR081C	kinase
YBL088C	YBR112C	kinase
YBL088C	YBR127C	kinase
YBL088C	YBR136W	kinase
YBL088C	YBR233W-A	kinase
YBL088C	YBR236C	kinase
YBL088C	YBR247C	kinase
YBL088C	YBR275C	kinase
YBL088C	YCL061C	kinase
YBL088C	YCR014C	-
YBL088C	YCR057C	kinase
YBL088C	YDL003W	kinase
YBL088C	YDL101C	kinase
YBL088C	YDL102W	kinase
YBL088C	YDL201W	kinase
YBL088C	YDL220C	kinase
YBL088C	YDR016C	kinase
YBL088C	YDR097C	kinase
YBL088C	YDR121W	kinase
YBL088C	YDR138W	kinase
YBL088C	YDR145W	kinase
YBL088C	YDR167W	kinase
YBL088C	YDR217C	kinase
YBL088C	YDR227W	kinase
YBL088C	YDR285W	kinase
YBL088C	YDR310C	kinase
YBL088C	YDR334W	kinase
YBL088C	YDR369C	kinase
YBL088C	YEL037C	kinase
YBL088C	YER095W	-
YBL088C	YER133W	kinase
YBL088C	YFL013C	kinase
YBL088C	YFL014W	kinase
YBL088C	YGL043W	kinase
YBL088C	YGL066W	kinase
YBL088C	YGL150C	kinase
YBL088C	YGL175C	kinase
YBL088C	YGR211W	kinase
YBL088C	YGR240C	kinase
YBL088C	YGR244C	kinase
YBL088C	YGR270W	kinase
YBL088C	YHR030C	kinase
YBL088C	YHR040W	kinase
YBL088C	YHR056C	kinase
YBL088C	YHR154W	kinase
YBL088C	YHR164C	kinase
YBL088C	YIL072W	kinase
YBL088C	YIL126W	kinase
YBL088C	YIL130W	kinase
YBL088C	YJL098W	kinase
YBL088C	YJL173C	kinase
YBL088C	YJL176C	kinase
YBL088C	YJR006W	kinase
YBL088C	YJR060W	kinase
YBL088C	YJR089W	kinase
