loss	sse	Lt	Lp	epoch	time
15527089686.17610	15526978622.76336	21775.01433	16846.52147	0	2020-02-10T18:14:14.377
190573179.53769	190472896.50445	21759.96433	16851.95656	1	2020-02-10T18:35:42.851
164051951.50420	163957867.10102	21748.97315	16860.72069	2	2020-02-10T18:57:12.207
139673401.40329	139583715.67656	21739.96074	16869.75374	3	2020-02-10T19:18:56.189
119197584.06058	119111364.16907	21732.23728	16878.38954	4	2020-02-10T19:40:35.298
102727206.28888	102643788.81420	21725.45832	16886.45906	5	2020-02-10T20:02:33.572
89651382.28307	89570270.51160	21719.41536	16893.90522	6	2020-02-10T20:24:24.429
79263743.74197	79184536.71045	21713.96773	16900.74905	7	2020-02-10T20:46:01.319
70954653.29613	70877058.48691	21709.01340	16907.04423	8	2020-02-10T21:07:22.41
64244508.08891	64168320.89184	21704.47450	16912.83802	9	2020-02-10T21:29:00.111
58768810.24952	58693812.43620	21700.28944	16918.17418	10	2020-02-10T21:50:40.467
54253344.26549	54179394.18878	21696.40812	16923.09681	11	2020-02-10T22:12:45.964
50491866.81509	50418847.10258	21692.78894	16927.63775	12	2020-02-10T22:34:39.905
47328369.84121	47256176.41288	21689.39682	16931.83540	13	2020-02-10T22:56:35.555
44643871.37751	44572410.07399	21686.20175	16935.72251	14	2020-02-10T23:17:47.792
42346749.26274	42275959.36135	21683.17784	16939.32026	15	2020-02-10T23:39:23.926
40365802.62333	40295625.62821	21680.30254	16942.65643	16	2020-02-11T00:00:57.187
38645148.97040	38575522.06899	21677.55613	16945.75232	17	2020-02-11T00:22:44.077
37140497.71978	37071365.08238	21674.92121	16948.63388	18	2020-02-11T00:44:29.107
35816429.48609	35747747.08740	21672.38241	16951.31956	19	2020-02-11T01:05:56.21
34644385.58502	34576113.86093	21669.92609	16953.82466	20	2020-02-11T01:27:44.174
33601169.96245	33533251.12875	21667.54011	16956.16495	21	2020-02-11T01:49:34.226
32667757.95902	32600143.11626	21665.21364	16958.35387	22	2020-02-11T02:10:56.349
31828438.35794	31761099.06826	21662.93700	16960.40206	23	2020-02-11T02:32:26.313
31070174.86067	31003086.11124	21660.70154	16962.32221	24	2020-02-11T02:54:16.018
30382072.12954	30315210.89798	21658.49953	16964.12517	25	2020-02-11T03:15:34.061
29754971.31331	29688314.80459	21656.32404	16965.81954	26	2020-02-11T03:36:46.11
29181135.22677	29114655.56580	21654.16887	16967.41687	27	2020-02-11T03:58:39.434
28653971.96427	28587653.56278	21652.02849	16968.92427	28	2020-02-11T04:20:17.683
28167861.46863	28101690.67729	21649.89794	16970.34827	29	2020-02-11T04:42:04.089
27717983.47856	27651948.04852	21647.77280	16971.69457	30	2020-02-11T05:03:25.173
27300185.45586	27234274.83724	21645.64913	16972.96890	31	2020-02-11T05:24:41.319
26910877.03802	26845081.41804	21643.52343	16974.17802	32	2020-02-11T05:46:24.964
26546941.94846	26481251.96921	21641.39258	16975.32840	33	2020-02-11T06:07:37.475
26205665.04583	26140072.49530	21639.25383	16976.42488	34	2020-02-11T06:27:40.727
25884673.88034	25819171.27690	21637.10474	16977.47081	35	2020-02-11T06:48:01.099
25581889.19625	25516469.38464	21634.94317	16978.47170	36	2020-02-11T07:08:29.938
25295482.53805	25230139.32316	21632.76724	16979.43161	37	2020-02-11T07:28:55.488
25023842.36753	24958570.25986	21630.57532	16980.35207	38	2020-02-11T07:48:55.12
24765544.82947	24700338.82046	21628.36599	16981.23680	39	2020-02-11T08:08:53.441
24519328.56225	24454184.28986	21626.13803	16982.08948	40	2020-02-11T08:29:25.737
24284073.91075	24218987.52732	21623.89040	16982.91305	41	2020-02-11T08:49:51.532
24058785.54053	23993753.11062	21621.62220	16983.70904	42	2020-02-11T09:10:36.085
23842576.29331	23777593.92586	21619.33271	16984.48189	43	2020-02-11T09:30:47.333
23634653.11892	23569717.84052	21617.02131	16985.23282	44	2020-02-11T09:51:03.108
23434307.18544	23369416.47571	21614.68751	16985.96577	45	2020-02-11T10:11:33.232
23240903.80374	23176055.20344	21612.33093	16986.68021	46	2020-02-11T10:32:16.093
